%time,field.header.seq,field.header.stamp,field.header.frame_id,field.centroid.x,field.centroid.y,field.centroid.z,field.direction.x,field.direction.y,field.direction.z,field.radius,field.epsilon
1608567310158417810,0,1608567310158417810,iiwa_link_0,0.694858398049,0.0225273634527,0.0797386977681,0.00117411532733,0.00991859963483,-0.000492782388182,0.0,0.0
1608567310208573356,1,1608567310208573356,iiwa_link_0,0.694858398049,0.0225273634527,0.0797386977681,0.00117411532733,0.00991859963483,-0.000492782388182,0.0,0.0
1608567310258795907,2,1608567310258795907,iiwa_link_0,0.695385952466,0.0226038542915,0.0797977323682,0.00117383923193,0.00991879083708,-0.000489581237145,0.0,0.0
1608567310308966964,3,1608567310308966964,iiwa_link_0,0.696738770149,0.0229265652821,0.0799430208623,0.00117343869197,0.00991935471997,-0.000479002688544,0.0,0.0
1608567310359142662,4,1608567310359142662,iiwa_link_0,0.697710484884,0.0234795786914,0.08004733853,0.00117632099191,0.00991979933158,-0.000462439342204,0.0,0.0
1608567310409313351,5,1608567310409313351,iiwa_link_0,0.700749630913,0.0265960881244,0.0803068297636,0.00120127015546,0.00992070534833,-0.000369534038034,0.0,0.0
1608567310459496484,6,1608567310459496484,iiwa_link_0,0.701562848987,0.0293810747662,0.0802004842994,0.00123816039411,0.00991889087953,-0.00028733701189,0.0,0.0
1608567310509695712,7,1608567310509695712,iiwa_link_0,0.701824394031,0.0308594191563,0.0800043234493,0.00127759822372,0.00991515122283,-0.000239831205536,0.0,0.0
1608567310559951323,8,1608567310559951323,iiwa_link_0,0.701908235863,0.0315548045654,0.0799143744578,0.00129380732967,0.0099135790246,-0.000216826005652,0.0,0.0
1608567310610128335,9,1608567310610128335,iiwa_link_0,0.701475553467,0.0345090657682,0.0795232693301,0.00133533835517,0.00990957643344,-0.000131020559237,0.0,0.0
1608567310660302733,10,1608567310660302733,iiwa_link_0,0.702444524187,0.0370717988286,0.0794866062724,0.00134709276126,0.00990859977689,-7.06509305771e-05,0.0,0.0
1608567310794242964,11,1608567310794242964,iiwa_link_0,0.696548079242,0.0377136321597,0.0570747034014,-0.997807146467,14.8280141529,1.0,0.5,0.0
1608567310818908417,12,1608567310818908417,iiwa_link_0,0.696536870749,0.046477384835,0.0574429937131,-6.95795029063,97.6007190965,1.0,1.12485516071,0.0
1608567310895952346,13,1608567310895952346,iiwa_link_0,0.696536870749,0.046477384835,0.0574429937131,-1.23483832464,14.8874458349,1.0,1.12485516071,0.0
1608567310912353607,14,1608567310912353607,iiwa_link_0,0.695293891775,0.0478442576368,0.0583217460046,-8.19956909504,101.147442883,1.0,1.2168943882,0.0
1608567311032654120,15,1608567311032654120,iiwa_link_0,0.695293891775,0.0478442576368,0.0583217460046,-2.10464834017,18.254558049,1.0,1.2168943882,0.0
1608567311046669197,16,1608567311046669197,iiwa_link_0,0.69660225756,0.0469054870307,0.0583964526361,-10.5285023697,99.7433125731,1.0,1.15138828754,0.0
1608567311169056798,17,1608567311169056798,iiwa_link_0,0.69660225756,0.0469054870307,0.0583964526361,-0.694986837367,14.6013607948,1.0,1.15138828754,0.0
1608567311187782728,18,1608567311187782728,iiwa_link_0,0.696637291682,0.0483819166927,0.057797838665,-2.71243224479,101.453732905,1.0,0.984534084797,0.0
1608567311360712765,19,1608567311360712765,iiwa_link_0,0.6958868235,0.0507599168822,0.05752894247,-5805038712.47,12975194215.0,1.0,0.984534084797,0.0
