%time,field.poseStamped.header.seq,field.poseStamped.header.stamp,field.poseStamped.header.frame_id,field.poseStamped.pose.position.x,field.poseStamped.pose.position.y,field.poseStamped.pose.position.z,field.poseStamped.pose.orientation.x,field.poseStamped.pose.orientation.y,field.poseStamped.pose.orientation.z,field.poseStamped.pose.orientation.w,field.redundancy.e1,field.redundancy.status,field.redundancy.turn
1608567001849513053,1869741,1608567001799000000,iiwa_link_0,0.694230401306,0.023237523973,0.0801725322459,0.069517530683,0.997182369232,-0.0281286699788,0.00184530178797,-0.0484598312449,2,28
1608567001855859994,1869742,1608567001805000000,iiwa_link_0,0.694230821651,0.0232374685099,0.0801724435748,0.0695175452005,0.997182369232,-0.0281285731845,0.0018459806653,-0.0484597114717,2,28
1608567001868565082,1869743,1608567001812000000,iiwa_link_0,0.694231759202,0.0232373504847,0.0801726085655,0.0695177486868,0.997182369232,-0.0281283597948,0.00184746319243,-0.0484598912406,2,28
1608567001875587940,1869744,1608567001825000000,iiwa_link_0,0.694232689309,0.0232376804217,0.0801728950109,0.069517685409,0.997182369232,-0.0281280915243,0.00184897704618,-0.0484599511272,2,28
1608567001881649971,1869745,1608567001832000000,iiwa_link_0,0.69423321841,0.0232379010397,0.0801730110484,0.0695175111406,0.997182369232,-0.0281278769225,0.00184982361766,-0.0484597114717,2,28
1608567001887716054,1869746,1608567001838000000,iiwa_link_0,0.694233679341,0.0232377854597,0.0801730161564,0.0695176167983,0.997182369232,-0.0281278799212,0.00185055098764,-0.0484599511272,2,28
1608567001893881082,1869747,1608567001844000000,iiwa_link_0,0.694234107952,0.0232380528698,0.0801731162062,0.0695175090886,0.997182369232,-0.0281277385287,0.00185123211759,-0.0484598312449,2,28
1608567001900877952,1869748,1608567001851000000,iiwa_link_0,0.69423469782,0.0232381863192,0.0801730890289,0.069517365089,0.997182428837,-0.0281275221891,0.00185216885957,-0.0484598312449,2,28
1608567001907629966,1869749,1608567001858000000,iiwa_link_0,0.694235296905,0.0232382793285,0.0801730221926,0.0695174954795,0.997182428837,-0.0281273138402,0.00185308226255,-0.0484598312449,2,28
1608567001913610935,1869750,1608567001864000000,iiwa_link_0,0.694235757765,0.0232381792696,0.0801728802695,0.069517530843,0.997182369232,-0.0281273591763,0.00185381382936,-0.0484599511272,2,28
1608567001920650005,1869751,1608567001870000000,iiwa_link_0,0.694236106112,0.0232382461594,0.0801727121822,0.0695174579421,0.997182428837,-0.0281273064964,0.00185438280565,-0.0484600110138,2,28
1608567001926081895,1869752,1608567001876000000,iiwa_link_0,0.694236566445,0.0232380741978,0.0801724994442,0.0695175515586,0.997182369232,-0.0281271160383,0.00185501363126,-0.0484599511272,2,28
1608567001931999921,1869753,1608567001882000000,iiwa_link_0,0.694236859141,0.023237884738,0.0801719569883,0.0695175948535,0.997182369232,-0.0281270919844,0.00185542848629,-0.0484600110138,2,28
1608567001938810110,1869754,1608567001890000000,iiwa_link_0,0.694236848857,0.0232378633677,0.0801711255379,0.069517494877,0.997182369232,-0.0281272011423,0.00185535221815,-0.0484600110138,2,28
1608567001989777088,1869755,1608567001941000000,iiwa_link_0,0.694236735061,0.0232380223157,0.0801703043776,0.0695173950319,0.997182428837,-0.0281271194915,0.00185516225018,-0.0484599511272,2,28
1608567001996658086,1869756,1608567001947000000,iiwa_link_0,0.694239434255,0.0232390370685,0.080168658705,0.0695167384351,0.997182488441,-0.0281265441795,0.00185951913694,-0.0484601308961,2,28
1608567002002909898,1869757,1608567001954000000,iiwa_link_0,0.694240117566,0.0232387889173,0.0801687394604,0.0695168606277,0.997182428837,-0.0281264006722,0.00186058007668,-0.0484601308961,2,28
1608567002008876085,1869758,1608567001960000000,iiwa_link_0,0.694240597276,0.0232386248858,0.0801687392334,0.0695169388439,0.997182428837,-0.0281263449164,0.00186132398737,-0.0484601308961,2,28
1608567002015552043,1869759,1608567001967000000,iiwa_link_0,0.69424116074,0.023238715549,0.0801687340047,0.069516953936,0.997182428837,-0.0281261396689,0.00186220416886,-0.0484601308961,2,28
1608567002021877050,1869760,1608567001973000000,iiwa_link_0,0.69424196321,0.0232388931319,0.0801685625308,0.0695167404992,0.997182488441,-0.0281259700487,0.00186344989629,-0.0484600110138,2,28
1608567002028707027,1869761,1608567001980000000,iiwa_link_0,0.694242590488,0.0232386233809,0.080168440365,0.0695169896155,0.997182428837,-0.028125937015,0.00186441107283,-0.0484601308961,2,28
1608567002034790039,1869762,1608567001986000000,iiwa_link_0,0.694243206313,0.0232387256225,0.0801681250938,0.0695169049086,0.997182488441,-0.0281257770988,0.00186535770907,-0.0484602506694,2,28
1608567002040924072,1869763,1608567001992000000,iiwa_link_0,0.694243573933,0.0232389147993,0.0801677623783,0.0695167633603,0.997182488441,-0.0281255710481,0.00186590372557,-0.0484601308961,2,28
1608567002048852920,1869764,1608567001999000000,iiwa_link_0,0.694243824706,0.0232388142901,0.0801667600393,0.0695168209727,0.997182488441,-0.0281255815796,0.00186620621948,-0.0484600110138,2,28
1608567002054977893,1869765,1608567002006000000,iiwa_link_0,0.694243850369,0.0232386488403,0.0801655719006,0.06951663055,0.997182488441,-0.028125649804,0.00186617670478,-0.0484601308961,2,28
