%time,field.poseStamped.header.seq,field.poseStamped.header.stamp,field.poseStamped.header.frame_id,field.poseStamped.pose.position.x,field.poseStamped.pose.position.y,field.poseStamped.pose.position.z,field.poseStamped.pose.orientation.x,field.poseStamped.pose.orientation.y,field.poseStamped.pose.orientation.z,field.poseStamped.pose.orientation.w,field.redundancy.e1,field.redundancy.status,field.redundancy.turn
1608567250061280012,1897462,1608567249972000000,iiwa_link_0,0.694199271544,0.0222371772794,0.0799090511055,0.0640958411135,0.99760222435,-0.0259897334393,0.00246125500228,-0.0448318468538,2,28
1608567250067285060,1897463,1608567249979000000,iiwa_link_0,0.69419921506,0.0222371002659,0.0799089493883,0.0640961111148,0.99760222435,-0.0259897936266,0.00246117829525,-0.0448319667361,2,28
1608567250073303937,1897464,1608567249985000000,iiwa_link_0,0.694199191249,0.0222372762626,0.0799089654835,0.0640961114889,0.99760222435,-0.0259898000533,0.00246121527517,-0.0448317869672,2,28
1608567250121947050,1897465,1608567250033000000,iiwa_link_0,0.694199360744,0.0222376536196,0.0799090708175,0.0640955394217,0.99760222435,-0.0259897271844,0.00246141423668,-0.0448316670849,2,28
1608567250128350019,1897466,1608567250041000000,iiwa_link_0,0.694199319094,0.0222376785134,0.0799090718336,0.0640952921974,0.997602283955,-0.0259898170045,0.00246139180466,-0.0448316670849,2,28
1608567250134284019,1897467,1608567250047000000,iiwa_link_0,0.694199338098,0.0222377344294,0.0799090273529,0.0640958063706,0.99760222435,-0.0259897253604,0.00246142430437,-0.0448316670849,2,28
1608567250141243934,1897468,1608567250054000000,iiwa_link_0,0.694199228186,0.0222376554012,0.079909030691,0.0640959037081,0.99760222435,-0.0259897965088,0.00246125367787,-0.0448317869672,2,28
1608567250148857116,1897469,1608567250061000000,iiwa_link_0,0.694199270735,0.0222376729733,0.0799090339079,0.0640957035245,0.99760222435,-0.0259898376537,0.00246128524004,-0.0448317869672,2,28
1608567250155015945,1897470,1608567250068000000,iiwa_link_0,0.694199252849,0.0222377691485,0.0799089937915,0.0640955040343,0.99760222435,-0.0259898854014,0.00246126048888,-0.0448317869672,2,28
1608567250161930084,1897471,1608567250074000000,iiwa_link_0,0.694199243634,0.0222377146336,0.0799090769858,0.0640955969927,0.99760222435,-0.0259898669523,0.00246128948349,-0.0448319667361,2,28
1608567250167995929,1897472,1608567250080000000,iiwa_link_0,0.694199313436,0.0222377999489,0.0799090120883,0.0640955221589,0.99760222435,-0.025989826654,0.00246137440125,-0.0448317869672,2,28
1608567250174043893,1897473,1608567250087000000,iiwa_link_0,0.694199336685,0.0222378340239,0.0799090320967,0.0640957072743,0.99760222435,-0.0259897990263,0.00246143745325,-0.0448318468538,2,28
1608567250180294036,1897474,1608567250093000000,iiwa_link_0,0.694199357056,0.0222379995253,0.0799090461871,0.0640953700788,0.997602283955,-0.025989636689,0.00246143974068,-0.0448316670849,2,28
1608567250187026977,1897475,1608567250099000000,iiwa_link_0,0.694199313546,0.0222379109775,0.0799090697331,0.064095545185,0.99760222435,-0.0259896535561,0.00246135344272,-0.0448317869672,2,28
1608567250193166971,1897476,1608567250105000000,iiwa_link_0,0.694199234507,0.0222382171929,0.0799090417639,0.0640956594037,0.99760222435,-0.0259895647507,0.0024612628075,-0.0448315473117,2,28
1608567250198817014,1897477,1608567250111000000,iiwa_link_0,0.694199229397,0.022238159196,0.0799090681231,0.0640951675982,0.997602283955,-0.0259896630641,0.00246123249528,-0.0448316670849,2,28
1608567250205140113,1897478,1608567250118000000,iiwa_link_0,0.69419927613,0.0222381613782,0.0799090463035,0.0640956410709,0.99760222435,-0.0259896497772,0.00246133406492,-0.0448316670849,2,28
1608567250211185932,1897479,1608567250124000000,iiwa_link_0,0.694199310276,0.0222380553664,0.0799090727505,0.0640954522939,0.99760222435,-0.0259897210598,0.00246136684262,-0.0448318468538,2,28
1608567250217156887,1897480,1608567250130000000,iiwa_link_0,0.694199294659,0.0222379359474,0.0799091202461,0.0640954108072,0.99760222435,-0.0259898785146,0.00246135465365,-0.0448319067404,2,28
1608567250223306894,1897481,1608567250136000000,iiwa_link_0,0.694199283659,0.0222381721793,0.0799089662313,0.0640955520022,0.99760222435,-0.0259897002699,0.00246134033118,-0.0448317869672,2,28
1608567250230150938,1897482,1608567250142000000,iiwa_link_0,0.694199261735,0.0222382160667,0.0799090675857,0.0640952648723,0.997602283955,-0.0259896934342,0.00246133264016,-0.0448316670849,2,28
1608567250237862110,1897483,1608567250149000000,iiwa_link_0,0.69419928296,0.0222382729256,0.0799090274111,0.0640952423783,0.997602283955,-0.0259897331942,0.00246137038277,-0.0448316670849,2,28
1608567250279135942,1897484,1608567250192000000,iiwa_link_0,0.694199349762,0.0222382380663,0.0799089908911,0.0640952191776,0.997602283955,-0.0259897580882,0.0024614336178,-0.0448318468538,2,28
